Cell Line Name,Disease Site,Sex,Age,Derived From Site,"European, South",Native American,African,"East Asian, North","European, North","East Asian, South",South Asian
A-427,Lung adenocarcinoma,Male,52Y,Lung,24.43,0.4,0.0,1.31,71.98,0.28,1.59
A-431,Skin squamous cell carcinoma,Female,85Y,"Skin, epidermis",65.16,0.0,3.82,7.84,17.15,0.0,6.03
A-498,Renal cell carcinoma,Male,52Y,Kidney,34.06,0.0,0.37,2.1,63.47,0.0,0.0
A-549,Lung adenocarcinoma,Male,58Y,Lung,33.16,0.0,0.0,0.72,66.12,0.0,0.0
A-673,Ewing sarcoma,Female,15Y,Muscle,28.57,0.0,0.54,1.77,69.11,0.0,0.0
A-704,Renal cell carcinoma,Male,78Y,Kidney,20.13,0.0,71.07,6.26,2.53,0.0,0.0
A101D,Melanoma,Male,56Y,Lymph node,27.21,0.0,0.0,0.99,71.28,0.0,0.52
A2058,Amelanotic melanoma,Male,43Y,Lymph node,26.84,0.45,0.0,0.51,71.7,0.0,0.49
A2780,Ovarian endometrioid adenocarcinoma,Female,Age unspecified,Ovary,4.17,0.0,93.08,2.76,0.0,0.0,0.0
A3/Kawakami,Diffuse large B-cell lymphoma,Female,68Y,Ascites,0.0,0.0,0.0,79.02,0.43,20.54,0.0
A4/Fukuda,Adult B acute lymphoblastic leukemia,Female,52Y,Ascites,0.0,0.0,0.0,75.76,0.0,24.23,0.0
ABC-1,Lung adenocarcinoma,Male,47Y,Pleural effusion,1.09,0.92,0.72,78.6,0.0,18.68,0.0
ACC-MESO-1,Pleural epithelioid mesothelioma,Female,61Y,"Lung, pleura",0.85,0.64,1.98,84.83,0.0,11.7,0.0
ACHN,Papillary renal cell carcinoma,Male,22Y,Pleural effusion,25.34,0.0,0.0,0.83,70.53,1.52,1.78
ACN,Melanoma,Sex unspecified,Age unspecified,Unknown,27.16,0.69,0.3,0.0,70.67,0.16,1.02
AGS,Gastric adenocarcinoma,Female,54Y,Stomach,31.12,32.25,3.44,5.38,27.58,0.0,0.23
ALL-PO,Childhood B acute lymphoblastic leukemia,Female,4M,Bone marrow,41.49,0.07,0.0,2.2,52.99,1.8,1.45
ALL-SIL,Childhood T acute lymphoblastic leukemia,Male,17Y,Peripheral blood,51.09,0.0,1.38,1.27,39.53,1.49,5.24
AM-38,Glioblastoma,Male,36Y,"Brain, left occipital lobe",2.85,0.0,1.14,90.78,0.0,5.24,0.0
AML-193,Childhood acute myeloid leukemia,Female,13Y,Peripheral blood,16.74,0.0,65.28,3.56,14.42,0.0,0.0
AMO1,Plasma cell myeloma,Female,64Y,Ascites,1.66,0.0,1.35,79.12,0.0,17.86,0.0
AN3-CA,Acanthosis nigricans,Female,55Y,Lymph node,31.54,0.0,0.36,0.85,62.96,1.08,3.21
ARH-77,Unknown,Female,33Y,Peripheral blood,61.25,0.38,2.24,0.0,25.32,2.18,8.63
ASH-3,Thyroid gland anaplastic carcinoma,Female,68Y,Thyroid gland,0.0,0.08,0.0,79.16,0.0,20.41,0.34
AsPC-1,Pancreatic ductal adenocarcinoma,Female,62Y,Ascites,37.57,0.0,0.97,3.23,58.23,0.0,0.0
ATN-1,Adult T acute lymphoblastic leukemia,Male,47Y,Peripheral blood,1.95,0.05,0.0,78.58,0.0,17.98,1.43
AU565,Breast adenocarcinoma,Female,43Y,Pleural effusion,34.08,0.0,0.17,1.67,64.07,0.0,0.01
AZ-521,Duodenal adenocarcinoma,Male,53Y,"Small intestine, duodenum",9.12,0.0,78.39,1.7,10.56,0.0,0.23
B-CPAP,Poorly differentiated thyroid gland carcinoma,Female,76Y,Thyroid gland,50.97,1.26,0.56,0.45,43.75,1.09,1.92
BALL-1,Adult B acute lymphoblastic leukemia,Male,75Y,Peripheral blood,0.0,0.0,0.0,81.09,0.0,18.9,0.0
BB30-HNC,Head and neck squamous cell carcinoma,Female,Age unspecified,Unknown,27.6,0.0,0.71,0.53,70.27,0.0,0.89
BB49-HNC,Floor of mouth squamous cell carcinoma,Female,70Y,Unknown,38.06,0.55,0.66,0.98,57.6,0.0,2.14
BB65-RCC,Renal cell carcinoma,Male,Age unspecified,Kidney,35.82,1.94,0.53,1.65,59.69,0.0,0.38
BC-1,Primary effusion lymphoma,Male,46Y,Ascites,30.53,0.64,0.0,0.52,67.92,0.0,0.4
BC-3,Primary effusion lymphoma,Male,85Y,Pleural effusion,53.67,1.02,7.13,6.58,25.3,0.0,6.31
BC-3C,Bladder carcinoma,Female,82Y,Urinary bladder,52.49,0.28,1.78,4.58,37.13,0.0,3.73
BCP-1,Primary effusion lymphoma,Male,94Y,Peripheral blood,62.51,0.07,1.81,2.0,24.92,0.6,8.1
BDCM,Acute myeloid leukemia,Male,Age unspecified,Peripheral blood,26.97,0.0,0.02,0.0,70.49,0.0,2.51
BE-13,Childhood T acute lymphoblastic leukemia,Female,4Y,Peripheral blood,69.88,1.38,3.02,0.0,13.65,1.18,10.89
Becker,Astrocytoma,Male,57Y,Brain,65.17,0.96,0.35,1.31,21.76,0.09,10.35
BEN,Lung non-small cell carcinoma,Male,71Y,Supraclavicular lymph node,33.78,0.0,2.03,4.23,59.95,0.0,0.0
BFTC-905,Bladder carcinoma,Female,51Y,Urinary bladder,3.98,0.0,0.82,33.39,0.0,61.81,0.0
BFTC-909,Renal pelvis urothelial carcinoma,Male,64Y,"Kidney, renal pelvis",1.02,0.0,0.0,27.83,0.0,71.15,0.0
BGC-823,Human papillomavirus-related cervical adenocarcinoma,Female,30Y6M,"Uterus, cervix",13.96,0.77,65.99,2.9,16.38,0.0,0.0
BHT-101,Thyroid gland anaplastic carcinoma,Female,63Y,Lymph node,37.97,0.75,0.56,2.42,57.43,0.0,0.87
BHY,Alveolar ridge squamous cell carcinoma,Male,52Y,"Oral cavity, alveolar ridge",1.09,1.12,0.0,81.47,0.0,16.1,0.22
BICR 10,Buccal mucosa squamous cell carcinoma,Female,Age unspecified,"Oral cavity, buccal mucosa",27.87,0.0,0.05,0.01,71.25,0.0,0.82
BICR 16,Tongue squamous cell carcinoma,Male,Age unspecified,"Oral cavity, tongue",35.88,0.0,0.43,3.56,60.13,0.0,0.0
BICR 18,Laryngeal squamous cell carcinoma,Male,Age unspecified,Lymph node,38.08,0.0,6.55,7.21,48.15,0.0,0.0
BICR 22,Tongue squamous cell carcinoma,Male,88Y,Lymph node,43.71,0.0,9.32,10.18,36.79,0.0,0.0
BICR 31,Tongue squamous cell carcinoma,Male,Age unspecified,"Oral cavity, tongue",34.81,0.0,1.67,1.96,61.56,0.0,0.0
BICR 56,Tongue squamous cell carcinoma,Female,Age unspecified,"Oral cavity, tongue",28.56,1.04,0.75,1.39,67.74,0.0,0.51
BICR 6,Hypopharyngeal squamous cell carcinoma,Male,Age unspecified,"Pharynx, hypopharynx",36.88,0.0,4.56,5.39,53.16,0.0,0.0
BICR 78,Alveolar ridge squamous cell carcinoma,Male,Age unspecified,"Oral cavity, alveolar ridge",28.89,1.14,3.26,2.29,63.51,0.0,0.91
BJ1-hTERT,Unknown,Male,<1M,"Foreskin, skin",24.72,0.6,0.29,1.01,73.33,0.0,0.05
BL-41,Burkitt lymphoma,Male,8Y,Unknown,40.71,0.06,0.05,0.0,57.31,0.52,1.34
BL-70,Burkitt lymphoma,Male,16Y,Unknown,42.5,1.03,2.11,0.85,52.49,0.0,1.04
BONNA-12,Hairy cell leukemia,Male,46Y,Spleen,26.91,0.0,0.35,1.04,71.7,0.0,0.0
BPH-1,Benign prostatic hyperplasia,Male,68Y,Prostate,29.17,0.0,0.0,1.5,66.48,0.02,2.82
BT-20,Invasive breast carcinoma of no special type,Female,74Y,Breast,41.56,0.0,5.3,9.54,43.6,0.0,0.0
BT-474,Invasive breast carcinoma of no special type,Female,60Y,Breast,26.74,0.0,0.6,2.47,70.19,0.0,0.0
BT-483,Invasive breast carcinoma of no special type,Female,23Y,Breast,41.87,0.0,3.96,5.8,48.37,0.0,0.0
BT-549,Invasive breast carcinoma of no special type,Female,72Y,Breast,62.87,0.0,0.21,3.6,26.05,0.0,7.26
BV-173,"Chronic myelogenous leukemia, BCR-ABL1 positive",Male,45Y,Peripheral blood,41.77,0.0,1.38,2.14,52.2,0.0,2.51
BxPC-3,Pancreatic ductal adenocarcinoma,Female,61Y,Pancreas,27.79,0.0,1.55,1.41,69.25,0.0,0.0
C-33 A,Human papillomavirus-independent cervical squamous cell carcinoma,Female,66Y,"Uterus, cervix",31.19,0.33,0.41,0.48,66.58,0.19,0.82
C-4-I,Human papillomavirus-related cervical squamous cell carcinoma,Female,41Y,"Uterus, cervix",25.76,0.73,0.0,0.0,72.49,0.0,1.02
C2BBe1,Colon adenocarcinoma,Male,72Y,Colon,40.62,0.0,0.0,1.84,57.43,0.11,0.0
C32 [Human melanoma],Amelanotic melanoma,Male,53Y,Skin,33.45,1.03,0.0,2.04,63.48,0.0,0.0
C8166,Unknown,Male,<1D,Umbilical cord blood,33.5,0.05,0.3,1.72,64.43,0.0,0.0
Ca Ski,Human papillomavirus-related cervical squamous cell carcinoma,Female,40Y,Small intestine,28.76,0.0,1.02,1.86,68.36,0.0,0.0
CA46,Burkitt lymphoma,Male,Age unspecified,Ascites,13.32,0.85,33.18,7.55,9.41,35.68,0.0
Ca9-22,Gingival squamous cell carcinoma,Male,43Y,"Oral cavity, gingiva",0.49,0.0,0.96,79.73,0.0,18.82,0.0
Caco-2,Colon adenocarcinoma,Male,72Y,Colon,44.73,0.0,3.33,4.59,47.35,0.0,0.0
CADO-ES1,Ewing sarcoma,Female,19Y,Pleural effusion,0.48,0.72,1.63,75.38,0.0,21.78,0.0
Caki-1,Clear cell renal cell carcinoma,Male,49Y,Skin,58.26,0.91,1.09,2.59,28.81,0.47,7.88
Caki-2,Papillary renal cell carcinoma,Male,69Y,Kidney,33.76,0.61,0.0,1.28,64.34,0.0,0.0
CAL-120,Breast carcinoma,Female,43Y,Pleural effusion,42.29,0.0,1.62,3.74,51.79,0.0,0.57
CAL-12T,Lung non-small cell carcinoma,Male,Age unspecified,Lung,40.37,0.91,0.12,2.34,56.03,0.23,0.0
CAL-148,Breast carcinoma,Female,58Y,Pleural effusion,48.96,0.26,3.17,2.18,44.85,0.0,0.58
CAL-27,Tongue adenosquamous carcinoma,Male,56Y,"Oral cavity, tongue",40.51,0.0,2.22,2.6,54.66,0.0,0.0
CAL-29,Bladder carcinoma,Female,80Y,Urinary bladder,45.18,0.1,0.0,2.83,51.89,0.0,0.0
CAL-33,Tongue squamous cell carcinoma,Male,69Y,"Oral cavity, tongue",49.56,0.0,0.92,2.32,46.86,0.33,0.0
CAL-39,Vulvar squamous cell carcinoma,Female,76Y,Vulva,59.19,0.78,2.88,0.0,26.43,1.64,9.08
CAL-51,Breast carcinoma,Female,45Y,Pleural effusion,40.31,0.75,0.0,0.86,55.8,0.0,2.28
CAL-54,Renal cell carcinoma,Male,75Y,Pleural effusion,45.35,0.0,0.26,0.0,51.11,0.56,2.72
CAL-62,Thyroid gland anaplastic carcinoma,Female,70Y,Thyroid gland,50.02,0.27,0.55,1.91,46.22,0.0,1.04
CAL-72,Osteosarcoma,Male,10Y,"Bone, patella",5.91,0.09,67.94,1.27,0.0,0.0,24.79
CAL-78,Dedifferentiated chondrosarcoma,Male,76Y,"Thigh, skeletal muscle",67.96,0.0,7.03,6.11,15.05,0.0,3.86
CAL-85-1,Breast carcinoma,Female,35Y,Breast,7.0,0.0,0.83,4.79,0.0,0.0,87.38
Calu-1,Lung squamous cell carcinoma,Male,47Y,Pleural effusion,57.8,0.74,0.0,0.11,31.4,0.0,9.94
Calu-3,Lung adenocarcinoma,Male,25Y,Pleural effusion,29.51,0.0,0.63,2.09,67.76,0.0,0.0
Calu-6,Lung adenocarcinoma,Female,61Y,Pleural effusion,32.08,0.95,0.17,0.74,66.06,0.0,0.0
CAMA-1,Breast adenocarcinoma,Female,51Y,Pleural effusion,31.74,0.0,0.37,1.38,66.52,0.0,0.0
Caov-3,High grade ovarian serous adenocarcinoma,Female,54Y,Ovary,68.85,0.12,2.29,2.22,11.3,0.0,15.22
Caov-4,High grade ovarian serous adenocarcinoma,Female,45Y,"Fallopian tube, subserosa",27.94,0.0,0.23,4.8,67.03,0.0,0.0
Capan-1,Pancreatic ductal adenocarcinoma,Male,40Y,Liver,66.44,0.56,1.95,4.79,19.06,0.11,7.09
Capan-2,Pancreatic ductal adenocarcinoma,Male,56Y,Pancreas,35.95,0.63,0.28,0.28,62.52,0.0,0.34
CaR-1,Rectal adenocarcinoma,Male,70Y,Left inguinal lymph node,0.0,0.0,0.0,77.73,0.0,21.34,0.92
CAS-1,Glioblastoma,Male,63Y,Brain,49.46,0.58,0.0,0.0,46.51,0.08,3.36
CCF-STTG1,Astrocytoma,Female,68Y,Brain,36.87,0.0,0.55,1.13,60.84,0.0,0.6
CCK-81,Colon adenocarcinoma,Female,62Y,Lymph node,0.0,1.38,0.0,77.93,0.0,20.68,0.0
CCRF-CEM,Childhood T acute lymphoblastic leukemia,Female,3Y11M,Peripheral blood,28.85,0.21,0.2,0.43,69.4,0.09,0.81
CESS,Adult acute myeloid leukemia,Male,Adult,Peripheral blood,59.54,0.8,6.92,5.8,21.66,0.0,5.27
CFPAC-1,Cystic fibrosis,Male,26Y,Liver,45.18,0.0,3.95,5.48,45.39,0.0,0.0
CGTH-W-1,Thyroid gland squamous cell carcinoma,Male,59Y,Thyroid gland,32.03,2.04,0.0,0.24,64.53,0.0,1.16
CH-157MN,Meningioma,Female,41Y,"Brain, meninges",38.99,0.0,0.5,2.54,57.82,0.0,0.15
ChaGo-K-1,Bronchogenic carcinoma,Male,45Y,Hypodermis,34.97,0.0,1.18,3.52,59.93,0.0,0.39
CHL-1,Melanoma,Female,36Y,Pleural effusion,31.21,0.0,0.0,0.39,68.4,0.0,0.0
CHP-126,Neuroblastoma,Female,1Y2M,Retroperitoneal space,31.9,0.41,0.0,1.27,65.66,0.0,0.75
CHP-134,Adrenal gland neuroblastoma,Male,1Y1M,Adrenal gland,28.62,0.0,0.04,0.15,70.26,0.0,0.93
CHP-212,Neuroblastoma,Male,1Y8M,Brain,25.19,0.0,2.16,1.09,70.26,0.43,0.86
CHSA0011,Chondrosarcoma,Male,Unknown,Unknown,29.42,0.01,1.37,3.14,66.06,0.0,0.0
CHSA0108,Chondrosarcoma,Male,Unknown,Unknown,32.32,0.79,2.14,1.29,63.46,0.0,0.0
CHSA8926,Chondrosarcoma,Male,Unknown,Unknown,26.02,0.93,0.0,0.0,68.86,0.11,4.08
Ci-1,B-cell non-Hodgkin lymphoma,Female,38Y,Ascites,54.11,0.0,0.56,0.29,34.89,1.5,8.65
CJM [Human melanoma],Melanoma,Unknown,Unknown,Unknown,0.4,0.61,0.43,76.74,0.0,21.81,0.0
CL-11,Colon adenocarcinoma,Male,Age unspecified,Colon,34.59,0.0,0.97,2.17,62.27,0.0,0.0
CL-14,Colon adenocarcinoma,Male,Age unspecified,"Colon, sigmoid",39.58,0.0,3.68,5.8,50.95,0.0,0.0
CL-34,Colon adenocarcinoma,Female,Age unspecified,Colon,21.37,0.86,0.8,2.45,74.0,0.0,0.51
CL-40,Colon adenocarcinoma,Female,Age unspecified,Colon,27.8,0.13,0.0,0.0,71.2,0.86,0.0
CMK,Down syndrome,Male,10M,Peripheral blood,2.33,0.0,0.58,93.95,0.0,3.14,0.0
CMK-11-5,Down syndrome,Male,10M,Peripheral blood,3.94,0.0,0.58,95.47,0.0,0.0,0.0
CMK-86,Down syndrome,Male,10M,Peripheral blood,0.0,0.34,0.0,91.48,0.0,8.18,0.0
CML-T1,"Chronic myelogenous leukemia, BCR-ABL1 positive",Female,36Y,Peripheral blood,0.92,0.0,0.0,71.95,0.0,26.83,0.3
COLO 201,Colon adenocarcinoma,Male,70Y,Ascites,47.3,0.0,13.18,12.19,27.33,0.0,0.0
COLO 205,Colon adenocarcinoma,Male,70Y,Ascites,36.53,0.0,0.0,2.08,61.39,0.0,0.0
COLO 320,Colon adenocarcinoma,Female,55Y,"Colon, sigmoid",80.72,2.1,0.51,3.77,3.59,0.13,9.18
COLO 320HSR,Colon adenocarcinoma,Female,55Y,"Colon, sigmoid",78.44,2.14,0.0,0.47,6.29,2.14,10.52
COLO 668,Lung small cell carcinoma,Female,47Y,Brain,45.77,16.55,2.4,3.63,28.55,0.0,3.09
COLO 678,Colon carcinoma,Male,69Y,Lymph node,35.83,0.29,2.56,3.34,57.97,0.0,0.0
COLO 679,Cutaneous melanoma,Female,47Y,Soft tissue,32.79,0.0,0.0,0.47,65.46,0.33,0.94
COLO 680N,Esophageal squamous cell carcinoma,Female,57Y,Esophagus,12.54,0.0,83.09,4.36,0.0,0.0,0.0
COLO 684,Endometrial adenocarcinoma,Female,63Y,Endometrium,30.43,0.0,0.0,2.07,67.5,0.0,0.0
COLO 704,High grade ovarian serous adenocarcinoma,Female,46Y,Ascites,30.15,0.08,0.0,1.33,68.17,0.27,0.0
COLO 741,Melanoma,Female,69Y,Pelvic wall,31.59,0.14,0.0,1.84,63.98,0.0,2.44
COLO 775,Plasma cell myeloma,Male,61Y,Peripheral blood,16.33,0.0,73.36,2.48,7.83,0.0,0.0
COLO 783,Melanoma,Female,48Y,Right axillary lymph node,30.81,0.51,0.0,1.36,67.32,0.0,0.0
COLO 792,Melanoma,Male,62Y,Brain,62.45,0.0,3.5,5.22,22.34,0.0,6.48
COLO 800,Cutaneous melanoma,Male,14Y,Hypodermis,56.06,0.0,0.0,0.05,40.03,0.97,2.89
COLO 818,Cutaneous melanoma,Male,14Y,Hypodermis,55.71,0.0,0.0,0.0,39.88,1.07,3.33
COLO 824,Breast carcinoma,Female,52Y,Pleural effusion,7.67,0.04,85.4,1.28,5.62,0.0,0.0
COLO 829,Cutaneous melanoma,Male,45Y,Skin,26.07,0.0,0.12,2.63,71.18,0.0,0.0
COLO 849,Cutaneous melanoma,Male,43Y,Right axillary lymph node,24.82,0.07,0.0,2.02,73.1,0.0,0.0
COR-L105,Lung adenocarcinoma,Male,Age unspecified,Pleural effusion,27.79,1.16,0.7,2.98,66.49,0.0,0.88
COR-L23,Lung large cell carcinoma,Male,62Y,Pleural effusion,28.32,0.14,0.0,1.45,69.11,0.0,0.98
COR-L24,Lung small cell carcinoma,Male,71Y,Lymph node,35.31,0.0,3.16,4.31,57.22,0.0,0.0
COR-L279,Lung small cell carcinoma,Male,63Y,Lymph node,34.17,0.3,2.83,2.65,60.06,0.0,0.0
COR-L303,Lung small cell carcinoma,Female,Age unspecified,Lung,28.16,0.33,1.07,2.4,68.04,0.0,0.0
COR-L311,Lung small cell carcinoma,Male,63Y,Lung,34.37,0.0,1.93,2.41,61.29,0.0,0.0
COR-L32,Lung squamous cell carcinoma,Sex unspecified,Age unspecified,Bone marrow,27.58,0.0,0.0,1.46,70.96,0.0,0.0
COR-L321,Lung carcinoma,Female,58Y,Unknown,32.26,0.0,0.0,0.7,67.03,0.0,0.0
COR-L47,Lung small cell carcinoma,Male,67Y,Bone marrow,34.99,0.43,1.67,2.28,59.47,0.0,1.16
COR-L51,Lung small cell carcinoma,Male,71Y,Pleural effusion,37.79,0.0,3.99,3.95,54.28,0.0,0.0
COR-L88,Lung small cell carcinoma,Male,55Y,Pleural effusion,36.74,0.0,2.68,2.39,58.19,0.0,0.0
COR-L95,Lung small cell carcinoma,Male,64Y,Lung,31.09,0.0,0.63,1.84,66.43,0.0,0.0
COV318,High grade ovarian serous adenocarcinoma,Female,Age unspecified,Ascites,27.85,0.0,0.0,1.46,70.13,0.0,0.55
COV362,High grade ovarian serous adenocarcinoma,Female,Age unspecified,Pleural effusion,33.05,0.2,1.85,3.12,61.78,0.0,0.0
COV434,"Ovarian small cell carcinoma, hypercalcemic type",Female,26Y,"Ovary, ovarian follicle, granulosa cell layer",36.51,0.68,1.5,0.76,60.55,0.0,0.0
COV504,Ovarian carcinoma,Female,Age unspecified,Pleural effusion,27.23,0.33,0.0,1.96,68.77,0.0,1.71
COV644,Ovarian mucinous adenocarcinoma,Female,Age unspecified,Ovary,57.17,0.0,1.23,3.96,16.37,0.0,21.27
CP50-MEL-B,Melanoma,Male,Age unspecified,Unknown,35.11,0.34,0.0,0.0,59.29,2.1,3.16
CP66-MEL,Melanoma,Male,Age unspecified,Unknown,29.58,0.27,0.0,0.56,67.46,0.0,2.13
CP67-MEL,Melanoma,Sex unspecified,Age unspecified,Unknown,35.28,0.46,0.09,0.0,64.17,0.0,0.0
CPC-N,Lung small cell carcinoma,Male,Age unspecified,Pleural effusion,42.0,0.0,0.41,0.58,55.27,0.17,1.56
CRO-AP2,Primary effusion lymphoma,Male,49Y,Pleural effusion,48.9,0.15,0.25,0.73,44.53,0.29,5.13
CRO-AP3,Primary effusion lymphoma,Male,42Y,Ascites,51.05,0.0,2.63,0.61,42.74,1.52,1.46
CS-1 [Human chondrosarcoma],Chondrosarcoma,Male,62Y,"Bone, humerus",29.41,0.36,0.0,1.25,68.97,0.0,0.0
CTB-1,Diffuse large B-cell lymphoma,Male,70Y,Pericardial effusion,0.0,0.23,0.0,25.3,0.0,74.47,0.0
CTV-1,Adult T acute lymphoblastic leukemia,Male,Age unspecified,Peripheral blood,46.55,1.28,1.02,0.0,45.18,0.34,5.64
CW-2,Colon adenocarcinoma,Female,55Y,Colon,0.0,0.0,0.0,75.46,0.0,24.54,0.0
D-245MG,Glioblastoma,Male,70Y,Brain,28.76,1.42,1.72,0.26,65.72,0.81,1.32
D-247MG,Gliosarcoma,Female,80Y,Brain,30.2,0.5,0.0,0.0,67.83,0.0,1.46
D-263MG,Glioblastoma,Female,71Y,Brain,31.01,1.08,0.41,0.75,63.92,0.0,2.84
D-336MG,Gliosarcoma,Male,68Y,Brain,28.79,0.37,0.62,0.73,68.29,0.0,1.2
D-392MG,Glioblastoma,Unknown,Adult,Brain,31.73,0.0,1.22,2.63,64.41,0.0,0.0
D-423MG,Glioblastoma,Male,Adult,Brain,28.1,0.32,0.0,1.3,68.67,1.42,0.18
D-502MG,Glioblastoma,Unknown,Adult,Brain,29.07,0.0,0.57,0.87,69.07,0.42,0.0
D-542MG,Glioblastoma,Female,Adult,Brain,3.16,2.46,0.45,53.35,1.0,39.58,0.0
D-566MG,Glioblastoma,Male,Adult,Brain,30.44,0.49,0.2,0.0,67.4,1.47,0.0
D283 Med,"Medulloblastoma, non-WNT/non-SHH, group 3",Male,6Y,Ascites,33.18,0.0,1.87,1.34,63.61,0.0,0.0
D341 Med,"Medulloblastoma, non-WNT/non-SHH, group 3",Male,3Y5M,"Brain, cerebellum",30.09,0.0,0.0,1.21,68.21,0.0,0.49
DAN-G,Pancreatic adenocarcinoma,Female,68Y,Pancreas,44.28,1.77,0.9,3.79,49.25,0.0,0.0
Daoy,"Medulloblastoma, SHH-activated, TP53-mutant",Male,4Y,"Brain, posterior fossa",32.54,0.0,0.45,1.54,64.36,0.0,1.1
Daudi,EBV-related Burkitt lymphoma,Male,16Y,Peripheral blood,4.74,0.12,91.6,2.24,0.0,0.0,1.3
DB,Diffuse large B-cell lymphoma germinal center B-cell type,Male,45Y,Ascites,29.16,0.0,0.0,0.4,67.72,0.73,1.98
DBTRG-05MG,Anaplastic astrocytoma,Female,59Y,Brain,63.44,0.0,0.0,0.59,16.56,0.0,19.4
DEL,"Anaplastic large cell lymphoma, ALK-positive",Male,12Y,Pleural effusion,40.18,0.0,0.65,1.56,56.65,0.0,0.96
Detroit 562,Pharyngeal squamous cell carcinoma,Female,Age unspecified,Pleural effusion,34.86,0.0,0.82,1.93,61.34,0.0,1.05
DG-75,Burkitt lymphoma,Male,10Y,Pleural effusion,62.01,1.16,1.72,0.0,25.56,1.7,7.84
DiFi,Colorectal carcinoma,Female,46Y,Ascites,40.55,0.44,2.91,1.85,54.25,0.0,0.0
DJM-1,Skin squamous cell carcinoma,Female,87Y,Skin,0.0,0.0,0.0,79.62,0.0,19.44,0.93
DK-MG,Glioblastoma,Female,67Y,"Brain, right parietal lobe",34.69,0.0,0.82,4.28,60.17,0.0,0.04
DLD-1,Colon adenocarcinoma,Male,67Y,Colon,32.2,0.31,0.0,0.0,64.92,0.3,2.26
DM-3,Pleural sarcomatoid mesothelioma,Male,62Y,"Lung, pleura",37.94,0.0,0.0,0.58,58.64,0.68,2.16
DMS 114,Thoracic SMARCA4-deficient undifferentiated tumor,Male,68Y,Lung,41.14,0.11,0.44,2.38,55.93,0.0,0.0
DMS 153,Lung small cell carcinoma,Male,44Y,Liver,43.66,0.56,0.64,3.7,51.44,0.0,0.0
DMS 273,Lung small cell carcinoma,Female,50Y,Pleural effusion,29.94,0.88,0.51,1.83,66.84,0.0,0.0
DMS 454,Lung small cell carcinoma,Male,Age unspecified,Lung,36.39,0.07,2.12,2.95,58.47,0.0,0.0
DMS 53,Lung small cell carcinoma,Male,54Y,Lung,37.36,0.0,2.98,4.32,55.34,0.0,0.0
DMS 79,Lung small cell carcinoma,Male,65Y,Pleural effusion,30.24,0.0,0.52,0.95,66.84,0.0,1.45
